package_name,weekly_downloads,repeated_characters,repeated_chars_dls,omitted_characters,omitted_chars_dls,swapped_characters,swapped_chars_dls,swapped_words,swapped_words_dls,common_typos,common_typos_dls,version_numbers,version_numbers_dls
tracrr,1,,,,,,,,,tracer,28445,,
fm,13,,,,,,,,,gm,147498,,
lyx,1,,,,,,,,,ltx,26079,,
depcheck3,1,,,depcheck,134095,,,,,,,depcheck,134095
zxcvbn2,943,,,zxcvbn,169885,,,,,,,zxcvbn,169885
yat,0,,,,,,,,,hat,315764,,
tipo,7,,,,,,,,,topo,1530495,,
ysoa,1,,,,,,,,,tsoa,10785,,
conv,2,,,,,,,,,conf,492231,,
react-native-render-html2,2,,,react-native-render-html,34820,,,,,,,react-native-render-html,34820
foreach2,0,,,foreach,2061472,,,,,,,foreach,2061472
jason-server,40,,,json-server,132598,,,,,,,,
signature_pad2,42,,,signature_pad,94389,,,,,,,signature_pad,94389
ntwitter,133,,,twitter,34062,,,,,,,,
jawk,0,,,,,,,,,hawk,2271540,,
array-includes-polyfill,13,,,,,,,polyfill-array-includes,10390,,,,
fs-then,108,,,,,,,then-fs,210303,,,,
frc,1,,,,,,,,,crc,2042806,,
rop,1,,,,,,,,,rlp,92490,,
mouse-events,3,,,mouse-event,54989,,,,,,,,
jsgi,8,,,,,,,,,jsbi,48090,,
x,114,,,,,,,,,d,5977950,,
azap,0,,,,,,,,,asap,7466249,,
obut,1,,,,,,,,,obuf,5313500,,
styles-reset,1,,,,,,,,,styled-reset,25345,,
service,2900,,,servie,15684,,,,,,,,
calendarx,44,,,calendar,15494,,,,,,,,
dift,123,,,,,,,,,sift,773938,,
alert.react,0,,,,,,,react-alert,12894,,,,
yhttperror,26,,,httperror,11233,,,,,,,,
decharts,1,,,echarts,182450,,,,,recharts,308100,,
vcf,2571,,,,,,,,,vdf,10315,,
check-update,14,,,,,,,update-check,245852,,,,
minin,1,,,,,,,,,minim,13670,,
ffmpegd,0,,,ffmpeg,11295,,,,,,,,
bufver-xor,1,,,,,,,,,buffer-xor,7262220,,
frontkit,16,,,fontkit,328694,,,,,,,,
combined-stream2,9275,,,combined-stream,15745879,,,,,,,combined-stream,15745879
prequire,2,,,require,10962,,,,,,,,
op,10,,,,,,,,,ip,7360111,,
react-datez,227,,,,,,,,,react-dates,317975,,
babel-plugin-react-inline-svg,3184,,,,,,,babel-plugin-inline-react-svg,79951,,,,
redos,113,,,,,,,,,redis,1392267,,
xsslint,81,,,,,,,,,csslint,113239,,
puno,1,,,,,,,,,pino,982557,,
fixy,1708,,,,,,,,,foxy,11218,,
array-to-stream,3,,,,,,,stream-to-array,172086,,,,
require.fresh,35,,,requirefresh,71495,,,requirefresh,71495,requirefresh,71495,,
mochq,0,,,,,,,,,mocha,3863419,,
watchf,1,,,,,,,,,watchr,73552,,
nnash,1,nash,207957,,,,,,,,,,
react-compat-lifecycles,0,,,,,,,react-lifecycles-compat,3554346,,,,
axml-parser,0,,,xml-parser,23792,,,,,,,,
npmu,1,,,,,,,,,npmi,35689,,
